OBJECT_NAME,NORAD_CAT_ID,COUNTRY,cluster,orbit_type,inclination,mean_motion,cluster_mean_motion,diff_from_cluster_mean,explanation
CZ-3A R/B,24799,PRC,0,LEO,0.5033651735799286,16.12768764,14.787722438177877,1.3399652018221246,"CZ-3A R/B (NORAD 24799) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.503 deg, mean_motion=16.128 rev/day, cluster_mean_mean_motion=14.788, diff=1.340"
CZ-3B R/B,24902,PRC,0,LEO,0.40176955782133866,13.90829282,14.787722438177877,-0.8794296181778769,"CZ-3B R/B (NORAD 24902) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.402 deg, mean_motion=13.908 rev/day, cluster_mean_mean_motion=14.788, diff=-0.879"
CZ-2C DEB,24928,PRC,0,LEO,1.5012484467614264,15.57275398,14.787722438177877,0.7850315418221232,"CZ-2C DEB (NORAD 24928) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.501 deg, mean_motion=15.573 rev/day, cluster_mean_mean_motion=14.788, diff=0.785"
CZ-2C DEB,24929,PRC,0,LEO,1.5022450297643153,15.64000953,14.787722438177877,0.8522870918221237,"CZ-2C DEB (NORAD 24929) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.502 deg, mean_motion=15.640 rev/day, cluster_mean_mean_motion=14.788, diff=0.852"
CZ-3B R/B,25011,PRC,0,LEO,0.4020348478676418,13.93627027,14.787722438177877,-0.8514521681778771,"CZ-3B R/B (NORAD 25011) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.402 deg, mean_motion=13.936 rev/day, cluster_mean_mean_motion=14.788, diff=-0.851"
CZ-2C DEB,25081,PRC,0,LEO,1.511011818597083,15.361668199999999,14.787722438177877,0.573945761822122,"CZ-2C DEB (NORAD 25081) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.511 deg, mean_motion=15.362 rev/day, cluster_mean_mean_motion=14.788, diff=0.574"
CZ-2C DEB,25082,PRC,0,LEO,1.5104777478459726,15.614308700000002,14.787722438177877,0.8265862618221256,"CZ-2C DEB (NORAD 25082) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.510 deg, mean_motion=15.614 rev/day, cluster_mean_mean_motion=14.788, diff=0.827"
CZ-2C DEB,25083,PRC,0,LEO,1.5018278960730886,15.812629579999998,14.787722438177877,1.024907141822121,"CZ-2C DEB (NORAD 25083) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.502 deg, mean_motion=15.813 rev/day, cluster_mean_mean_motion=14.788, diff=1.025"
CZ-2C DEB,25266,PRC,0,LEO,1.513060835138924,15.486740909999998,14.787722438177877,0.6990184718221215,"CZ-2C DEB (NORAD 25266) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.513 deg, mean_motion=15.487 rev/day, cluster_mean_mean_motion=14.788, diff=0.699"
CZ-2C DEB,25267,PRC,0,LEO,1.502641219504518,15.356817609999998,14.787722438177877,0.5690951718221218,"CZ-2C DEB (NORAD 25267) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.503 deg, mean_motion=15.357 rev/day, cluster_mean_mean_motion=14.788, diff=0.569"
CZ-2C DEB,25268,PRC,0,LEO,1.5029012735630651,15.61773192,14.787722438177877,0.830009481822124,"CZ-2C DEB (NORAD 25268) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.503 deg, mean_motion=15.618 rev/day, cluster_mean_mean_motion=14.788, diff=0.830"
CZ-2C DEB,25269,PRC,0,LEO,1.5127222412640373,15.241621699999998,14.787722438177877,0.45389926182212115,"CZ-2C DEB (NORAD 25269) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.513 deg, mean_motion=15.242 rev/day, cluster_mean_mean_motion=14.788, diff=0.454"
CZ-2C DEB,25323,PRC,0,LEO,1.5122841636217865,15.24563112,14.787722438177877,0.45790868182212385,"CZ-2C DEB (NORAD 25323) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.512 deg, mean_motion=15.246 rev/day, cluster_mean_mean_motion=14.788, diff=0.458"
CZ-2C DEB,25324,PRC,0,LEO,1.508170422574836,15.22449619,14.787722438177877,0.4367737518221233,"CZ-2C DEB (NORAD 25324) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.508 deg, mean_motion=15.224 rev/day, cluster_mean_mean_motion=14.788, diff=0.437"
CZ-2C DEB,25325,PRC,0,LEO,1.5068492083310765,15.24148279,14.787722438177877,0.4537603518221225,"CZ-2C DEB (NORAD 25325) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.507 deg, mean_motion=15.241 rev/day, cluster_mean_mean_motion=14.788, diff=0.454"
CZ-2C DEB,25326,PRC,0,LEO,1.5023218242514031,15.225384459999999,14.787722438177877,0.4376620218221223,"CZ-2C DEB (NORAD 25326) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.502 deg, mean_motion=15.225 rev/day, cluster_mean_mean_motion=14.788, diff=0.438"
CZ-2C DEB,25435,PRC,0,LEO,1.5018331320608447,15.48916894,14.787722438177877,0.7014465018221241,"CZ-2C DEB (NORAD 25435) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.502 deg, mean_motion=15.489 rev/day, cluster_mean_mean_motion=14.788, diff=0.701"
CZ-2C DEB,25436,PRC,0,LEO,1.5122510023659987,15.29204315,14.787722438177877,0.5043207118221229,"CZ-2C DEB (NORAD 25436) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.512 deg, mean_motion=15.292 rev/day, cluster_mean_mean_motion=14.788, diff=0.504"
CZ-2C DEB,25437,PRC,0,LEO,1.502421308018767,15.527596450000003,14.787722438177877,0.7398740118221259,"CZ-2C DEB (NORAD 25437) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.502 deg, mean_motion=15.528 rev/day, cluster_mean_mean_motion=14.788, diff=0.740"
CZ-2C DEB,25438,PRC,0,LEO,1.5132877279416834,15.57599689,14.787722438177877,0.7882744518221241,"CZ-2C DEB (NORAD 25438) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.513 deg, mean_motion=15.576 rev/day, cluster_mean_mean_motion=14.788, diff=0.788"
CZ-2C DEB,25581,PRC,0,LEO,1.5018209147560808,15.50181754,14.787722438177877,0.7140951018221227,"CZ-2C DEB (NORAD 25581) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.502 deg, mean_motion=15.502 rev/day, cluster_mean_mean_motion=14.788, diff=0.714"
CZ-2C DEB,25582,PRC,0,LEO,1.5135041487689307,15.425341439999999,14.787722438177877,0.637619001822122,"CZ-2C DEB (NORAD 25582) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.514 deg, mean_motion=15.425 rev/day, cluster_mean_mean_motion=14.788, diff=0.638"
CZ-2C DEB,25583,PRC,0,LEO,1.5114272069590575,15.443383290000002,14.787722438177877,0.655660851822125,"CZ-2C DEB (NORAD 25583) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.511 deg, mean_motion=15.443 rev/day, cluster_mean_mean_motion=14.788, diff=0.656"
CZ-2C DEB,25584,PRC,0,LEO,1.5030984957685405,15.37024181,14.787722438177877,0.5825193718221229,"CZ-2C DEB (NORAD 25584) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.503 deg, mean_motion=15.370 rev/day, cluster_mean_mean_motion=14.788, diff=0.583"
CZ-2C DEB,25781,PRC,0,LEO,1.5025399904079024,15.227946380000002,14.787722438177877,0.44022394182212565,"CZ-2C DEB (NORAD 25781) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.503 deg, mean_motion=15.228 rev/day, cluster_mean_mean_motion=14.788, diff=0.440"
CZ-2C DEB,25782,PRC,0,LEO,1.509786597462183,15.231976940000001,14.787722438177877,0.4442545018221242,"CZ-2C DEB (NORAD 25782) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.510 deg, mean_motion=15.232 rev/day, cluster_mean_mean_motion=14.788, diff=0.444"
CZ-2C DEB,25783,PRC,0,LEO,1.5135896699022786,15.11638831,14.787722438177877,0.3286658718221229,"CZ-2C DEB (NORAD 25783) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.514 deg, mean_motion=15.116 rev/day, cluster_mean_mean_motion=14.788, diff=0.329"
CZ-2C DEB,25784,PRC,0,LEO,1.5035226107767752,15.205822899999998,14.787722438177877,0.4181004618221209,"CZ-2C DEB (NORAD 25784) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.504 deg, mean_motion=15.206 rev/day, cluster_mean_mean_motion=14.788, diff=0.418"
