OBJECT_NAME,NORAD_CAT_ID,COUNTRY,LAUNCH_DATE,inclination,eccentricity,mean_motion,cluster,cluster_mean_motion,orbit_type
CZ-3A R/B,43492,PRC,2018-06-05,0.41875859276025146,0.7246779,2.28463889,2,2.2784453160077516,MEO
FENGYUN 2H AKM,43497,PRC,2018-06-05,0.07143632628412791,0.008642,1.00085555,1,0.9983499662585034,GEO
YAOGAN 4 DEB,43503,PRC,2008-12-01,1.704532180728962,0.0017247,15.602723129999998,0,14.787722438177877,LEO
CZ-2D DEB,43504,PRC,2017-12-23,1.7017413992550232,0.0009923,16.011332330000002,0,14.787722438177877,LEO
CZ-2D DEB,43505,PRC,2018-03-17,1.7041133017084833,0.0014338,16.22401059,0,14.787722438177877,LEO
CZ-2D DEB,43506,PRC,2018-03-17,1.7032319104362261,0.0008665,16.07608436,0,14.787722438177877,LEO
CZ-2D DEB,43507,PRC,2018-03-17,1.6988371713797046,0.0015197,16.19403824,0,14.787722438177877,LEO
XJS A,43518,PRC,2018-06-27,0.6116558723491687,0.001039,16.14081533,0,14.787722438177877,LEO
XJS B,43519,PRC,2018-06-27,0.6112073227314062,0.0012356,16.10004468,0,14.787722438177877,LEO
CZ-2C DEB,43520,PRC,2018-06-27,0.6104777751040726,0.0006313,16.121164879999995,0,14.787722438177877,LEO
CZ-2C R/B,43521,PRC,2018-06-27,0.6132493579562396,0.003036,15.56170208,0,14.787722438177877,LEO
CZ-2C DEB,43531,PRC,2018-07-09,1.7064380802721397,0.0019948,16.401661850000004,0,14.787722438177877,LEO
CZ-2C R/B,43532,PRC,2018-07-09,1.7108450366334256,0.0014937,16.436182529999996,0,14.787722438177877,LEO
CZ-2C DEB,43533,PRC,2018-07-09,1.7113983060063076,0.0092851,16.035776199999997,0,14.787722438177877,LEO
CZ-2C DEB,43534,PRC,2018-07-09,1.712298895900337,0.0014439,15.184611150000002,0,14.787722438177877,LEO
CZ-2C DEB,43535,PRC,2018-07-09,1.7071589012532136,0.0074685,16.11392295,0,14.787722438177877,LEO
CZ-2C DEB,43536,PRC,2018-07-09,1.7151420372518356,0.0126787,15.959312579999999,0,14.787722438177877,LEO
BEIDOU IGSO-7,43539,PRC,2018-07-09,0.9629121109592875,0.0092694,1.00291723,3,1.68749591765625,Unclassified
CZ-3A R/B,43540,PRC,2018-07-09,0.9582276472469348,0.1000857,14.26542654,0,14.787722438177877,LEO
CZ-2C DEB,43555,PRC,2018-07-09,1.7124385222404963,0.0019261,15.69029637,0,14.787722438177877,LEO
BEIDOU 3M9,43581,PRC,2018-07-29,0.9441969453901524,0.0005083,1.8622860499999998,3,1.68749591765625,Unclassified
BEIDOU 3M10,43582,PRC,2018-07-29,0.9441899640731445,0.0005287,1.86229656,3,1.68749591765625,Unclassified
CZ-3B R/B,43583,PRC,2018-07-29,0.9556253613322113,0.0641911,15.071679720000002,0,14.787722438177877,LEO
YZ-1 R/B,43584,PRC,2018-07-29,0.9432038530457676,0.0042006,1.78870993,3,1.68749591765625,Unclassified
GAOFEN 11,43585,PRC,2018-07-31,1.6960114833207258,0.0005678,15.45172505,0,14.787722438177877,LEO
CZ-4B R/B,43586,PRC,2018-07-31,1.6989750523906122,0.002112,16.35333655,0,14.787722438177877,LEO
CZ-4C DEB,43601,PRC,2016-08-09,1.7158209703308613,0.0078995,14.901441329999999,0,14.787722438177877,LEO
BEIDOU 3M11,43602,PRC,2018-08-24,0.945823592253011,0.0007749,1.86227635,3,1.68749591765625,Unclassified
